"Time","T0104","","T0104","","T0104","","T0104","","T0104","","T0104","","T0104",""
"and","10.00","","400.00","","430.00","","500.00","","515.00","","550.00","","750.00",""
"Date","Pioggia (mm)","","Temp. aria (°C)","","Umidita' aria (%)","","Dir. Vento (°)","","Vel. Vento (m/s)","","Pressione atm. (hPa)","","Rad.Sol.Tot. (kJ/m2)",""
"","Total","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Total","Qual"
00:00:00 14/02/2010,         0.0,      1,        -9.5,      1,        69.7,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 15/02/2010,         0.0,      1,        -9.0,      1,        65.1,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 16/02/2010,         0.0,      1,        -7.5,      1,        82.7,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 17/02/2010,         0.0,      1,        -3.0,      1,        87.9,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 18/02/2010,         1.0,      1,        -1.6,      1,        99.0,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 19/02/2010,        21.0,      1,        -2.5,      1,        99.2,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 20/02/2010,        14.0,      1,        -6.4,      1,        98.2,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 21/02/2010,         0.0,      1,        -9.6,      1,        91.2,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 22/02/2010,         0.4,      1,        -5.3,      1,        96.0,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 23/02/2010,         0.0,      1,        -2.5,      1,        94.8,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 24/02/2010,         1.2,      1,        -1.9,      1,        96.1,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 25/02/2010,         0.6,      1,        -2.2,      1,        89.0,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 26/02/2010,         5.6,      1,        -2.8,      1,        88.7,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 27/02/2010,         0.0,      1,        -3.8,      1,        42.1,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 28/02/2010,         1.2,      1,        -3.5,      1,        91.4,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 01/03/2010,         0.0,      1,        -1.9,      1,        62.9,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 02/03/2010,         0.0,      1,        -2.3,      1,        60.2,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 03/03/2010,         0.6,      1,        -3.9,      1,        66.4,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 04/03/2010,         1.0,      1,        -4.7,      1,        94.2,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 05/03/2010,         0.0,      1,       -11.3,      1,        48.6,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 06/03/2010,         0.0,      1,       -11.9,      1,        44.8,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 07/03/2010,         0.0,      1,       -12.2,      1,        57.1,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 08/03/2010,         0.0,      1,       -12.6,      1,        49.4,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 09/03/2010,         0.2,      1,       -13.9,      1,        78.7,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 10/03/2010,         4.2,      1,        -8.9,      1,        96.6,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 11/03/2010,         0.2,      1,        -7.0,      1,        98.1,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 12/03/2010,         0.0,      1,        -7.3,      1,        97.7,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 13/03/2010,         0.0,      1,        -7.1,      1,        68.2,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 14/03/2010,         0.0,      1,        -3.9,      1,        37.3,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 15/03/2010,         0.0,      1,        -6.1,      1,        48.0,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 16/03/2010,         0.0,      1,        -4.7,      1,        49.6,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 17/03/2010,         0.0,      1,        -2.3,      1,        38.7,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 18/03/2010,         0.0,      1,         0.8,      1,        44.2,      1,"",    151,"",    151,"",    255,"",    255
00:00:00 19/03/2010,         0.0,      1,        -0.8,      1,        88.2,      1,"",    151,"",    151,"",    255,"",    255
